Algorithm,Size,Time
"Small List",100,0.00023603439331055
"Medium List",10000,2.3707849979401
"Big List",100000,229.76207685471
"Sorted List",1000,0.016262054443359
"Reversed List",1000,0.030009984970093
"Duplicated List",1000,0.01511812210083
