Algorithm,Size,Time
"Small List",100,0.00010895729064941
"Medium List",10000,0.016982078552246
"Big List",100000,0.20533299446106
"Sorted List",1000,0.001039981842041
"Reversed List",1000,0.0011701583862305
"Duplicated List",1000,0.0016098022460938
