Cenário,"QuickSort (s)","MergeSort (s)","BubbleSort (s)"
"Small List",0.00010395050048828,0.00010895729064941,0.00023603439331055
"Medium List",0.013154029846191,0.016982078552246,2.3707849979401
"Big List",0.18930697441101,0.20533299446106,229.76207685471
"Sorted List",0.016103029251099,0.001039981842041,0.016262054443359
"Reversed List",0.036389827728271,0.0011701583862305,0.030009984970093
"Duplicated List",0.0064589977264404,0.0016098022460938,0.01511812210083
